(Years)|(années)
Cannot purchase the commercial building|Impossible d'acheter l'imeuble commercial
Cannot purchase the firm|Impossible d'acheter la firme
Cannot purchase the mansion|Impossible d'acheter la maison
Cannot purchase the technology|Impossible d'acheter la technologie
Cannot join session|Impossible de rejoindre la session
Printer|Imprimante
PRINTER|IMPRIMANTE
Industry|Industrie
Industrial|Industriel
Industries|Industries
Dominated Industries|Industries dominées
Inflation|Inflation
Community Facilities|Infrastructures communautaires
Instructions: How to set up a private challenge game|Instructions: Comment créer un défi privé
Inventory|Inventaire
Inverse|Inverse
Independent Investor|Investisseur indépendant
Never|Jamais
I manage this firm myself|Je gère cette firme moi-meme
I am the|Je suis le
I will manage this firm myself|Je vais gérer cette firme moi-même
I will manage all of of my firms|Je vais gérer tout
Private Challenge Games|Jeux challenge privés
Public Challenge Games|Jeux challenge publics
Toy|Jouet
Day|Jour
Days since last successful training|Jours passés depuis les derniers stages
Grape Juice|Jus de raisin
GRAPE JUICE|JUS DE RAISIN
Credit Limit|Limite du Crédit
Flax|Lin
FLAX|LIN
CLIENT LIST|LISTE DES CLIENTS
Bed|Lit
CORPORATE LOGO|LOGO
Bath Lotion|Lotion de bain
Footwear Store|Magasin de chaussure
Cosmetic Store|Magasin de cosmétique
Furniture Store|Magasin de meubles
Apparel Store|Magasin de vêtements
Hardware Store|Magasin Hardware
Computer Store|Magasin multimédia
Corn|Maïs
CORN|MAÏS
Operating Profit Margin|Marge d'exploitation
Leather Goods|Maroquinerie
Bad|Mauvais
Media|Média
DRUGS|MEDICAMENTS
Drugs|Médicaments
Ranking Method|Méhode de classement
Espionage Methodologies|Méthodes d'espionnage
Furniture|Meuble
FURNITURE|MEUBLE
billion|milliard
billion x 10|milliard x 10
billion x 100|milliard x 100
Challenge Game Mode|Mode de jeu challenge
Cheat Mode Enabled.|Mode de triche activé.
Moderate|Modéré
Current Month|Mois actuel
Harvesting Month|Mois de récolte
Dominance|Monopole
Elegant Watch|Montre de luxe
ELEGANT WATCH|MONTRE DE LUXE
Show Competitor Trade Secrets|Montrer les secrets des concurrents
Watch|Montres
Engine|Moteur
ENGINE|MOTEUR
Average|Moyenne
Don't Show Tips|Ne pas montrer les astuces
Cannot create session|Ne peut créer la session
Cannot create player|Ne peut créer le joueur
Cannot be sold in|Ne peut être vendu à
Cannot be sold in:|Ne peut être vendu à:
Cannot connect to lobby|Ne peut se connecter chez l'hôte
Cannot delete this slot|Ne peut supprimer cette place
Clear|Nettoyer
Neutral|Neutre
Difficulty Level|Niv. de difficulté
Competitor Expertise Level|Niveau d'Expertise des concurrents
Inflation Strength|Niveau d'inflation
Coconut|Noix de coco
Corporation Name|Nom Corporation
Crop Name|Nom de la culture
File name:|Nom:
No. of Employees|Nombre d'employés
No. of Product Classes Being Produced|Nombre de classe de produits fabriqués
Number of Competitors|Nombre de concurrents
Number of Seaports Importing Consumer Goods per City|Nombre de ports importants des biens de consomation par ville
Number of Seaports Importing Industrial Goods per City|Nombre de ports importants des matières premières par ville
No. of Controlled Companies|Nombre de sociétés contrôlées par le joueur
No. of Product Types Being Produced|Nombre de type de produits fabriqués
Number of Cities|Nombre de Villes
No|Non
Normal|Normal
Food|Nourriture
FOOD|NOURRITURE
NEW SINGLE-PLAYER GAME|NOUVEAU JEU SOLO
New Player|Nouveau joueur
New Price|Nouveau prix
New Game|Nouvelle partie
Empty Game Slot|Nouvelle sauvegarde
New City|Nouvelle ville
Display News|Nouvelles
NEWS|NOUVELLES
November|Novembre
GOAL|OBJECTIF
Goal|Objectif
Included products|Objectif exclus
Goal Products - Goals of Product Market Dominance|Objectif produit - Objectif de secteur en monopole
GOALS|OBJECTIFS
Excluded products|Objectifs inclus
Goals of the Player's Own Corporation|Objectifs pour la société du joueur
Goals of the Player's Own Corporation ($million)|Objectifs pour la société du joueur ($million)
Goals of Companies Controlled by the Player ($million)|Objectifs pour les sociétés sous contrôle du joueur ($million)
October|Octobre
Eggs|oeufs
EGGS|OEUFS
Off|Off
Built with funds donated by:|Offert par:
Done|OK
On|On
GAME OPTIONS|OPTIONS
Options|Options
Computer|Ordinateur
Forget it!|Oubliez-ça!
Yes|Oui
C.E.O.|P.D.G.
C.E.O. of|P.D.G. de
Bread|Pain
Hall of Fame|Palmarès
Paper|Papier
Reset Goals|Par défaut
Occasional|Parfois
PARFUME|PARFUM
Controlled Share|Part contrôlé
CEO|PDG
CEO & Chairman|PDG & Actionnaire majoritaire
COMMUNICATION DEVICES|PERIPHERIQUE DE COMMUNICATION
Communication Devices|Périphérique de communication
Custom|Perso.
Character|Personnage
Character:|Personnage:
Technology Disruption|Perturbation Technologique
Few|Peu
Can be sold in:|Peut être vendu à:
Drug Store|Pharmacie
PHOTO|Photo
Photography products|Photographie
COLD PILLS|PILLULES MEDICAMENTEUX
Cold Pills|Pillules médicamenteux
Plastic|Plastique
Employment Policy|Politique d'Emploi
Central Bank Policy|Politique de la Banque Centrale
Population|Population
Population:|Population :
FROZEN PORK|PORC CONGELE
Frozen Pork|Porc congelé
Seaport|Port
Chicken|Poulet
FROZEN CHICKEN|POULET CONGELE
Frozen Chicken|Poulet Congelé
Chickens|Poulets
DIFFICULTY RATING|Pourcentage de difficulté
near|près
Chief Executive Officer|Président-Directeur Général
Chief Executive Officer of|Président-Directeur Général de
Cost of Sales|Prix
Price|Prix
Current advertising pricing (CPM)|Prix actuel (mensuel)
Current advertising pricing (Cost per thousand)|Prix actuel de la publicité (pour 100)
Current Stock Price|Prix de l'action
Advertising cost (Cost per Thousand)|Prix de la publicité (coût pour 100)
Current Product|Produit actuel
Electonic Products|Produit électonique
Household Products|Produit ménager
Products|Produits
Body Care Products|Produits Corporels
Dominated Products|Produits dominés
ELECTRONIC PRODUCTS|PRODUITS ELECTRONIQUE
Electronic Products|Produits électroniques
NET PROFIT|PROFIT NET
Net Profit|Profit net
Total Profit|Profit total
Ownership|Propriétaire
Owned by Government|Propriété du gouvernement
Advertising|Publicité
Daily Ad. Freq.|Publicité par jour
Advertise|Publier
Oil Well|Puit de pétrole
Content Quality|Qualité
Import Quality|Qualité des importations
Grapes|Raisins
GRAPES|RAISINS
D1etail Report|Rapport détails
Financial Report|Rapport financier
Seldom|Rarement
Current Dividend Payout Ratio:|Ratio Actuel du dividende
Macro Economy Realism|Réalisme Macro-Economique
Discount|Réduction
Reduced|Réduit
Business Relations|Relations commerciales
Return on Equity|Rendement des capitaux propres
Hire Chief Operating Officer|Renvoyer le directeur d'exploitation
Hire Chief Operating Offier|Renvoyer le directeur d'exploitation
Hire Chief Marketing Officer|Renvoyer le directeur marketing
Hire Chief Technical Officer|Renvoyer le directeur Recherche & Developpement
Fire!|Renvoyer!
Consumption of Reserve|Réserve
Natural Resource|Ressource naturelle
Natural Resources at Start|Ressource naturelle au départ
Back|Retour
back|retour
Annual return on investment:|Retour sur investissement annuel
Annual Revenue|Revenu annuel
Annual Revenue of Companies Under Your Control|Revenu annuel des compagnies sous votre contrôle
Industry Revenue|Revenu industriel
Product Revenue|Revenu produit
Total Revenue|Revenu total
Annual Revenue of Your Corporation|Revenue annuel de votre société
Firm Revenue|Revenue de la firme
Annual Salary|Salaire annuel
Annual Salary: |Salaire annuel:
Score|Score
Raw Material Production|Secteur primaire
Excluded Industries|Secteurs exclus
Included Industries|Secteurs inclus
Cough Syrup|Sirop contre toux
COUGH SYRUP|SIROP CONTRE TOUX
Corn Syrup|Sirop de maïs
CORN SYRUP|Sirop de maïs
Firm Income Statement|Situation de revenue de la firme
Corporate Income Statement|Situation de revenus
Income Statement|Situation de revenus
Economic State|Situation économique
Camera Phone|Smartphone
CAMERA PHONE|SMARTPHONE
Corporate|Société
Stadium|Stade
TV Station|Station de TV
Great|Super
Delete|Supprimer
DELETE|SUPPRIMER
Delete the current plan, confirm ?|Supprimer le plan actuel ?
HI-FI SYSTEM|SYSTEME HI-FI
Hi-fi System|Système hi-fi
Tobacco Products|Tabac
Building Size|Taille du bâtiment
Current Tech.|Technologie actuel
Dyestuff|Teinture
DYESTUFF|TEINTURE
Soccer Field|Terrain de foot
Tennis Court|Terrain de tennis
Area.|Terrain.
Challenge Game Title|Titre du jeu challenge
Total No. of Employees|Total des employés
Always|Toujours
Always enable it|Toujours faire ça
Many|Tous
All Media Firms|Tous les médias
All products|Tous les produits
All|Tout
All Available|Tout disponible
Ignore All|Tout ignorer
All companies|Toutes les compagnies
All cities|Toutes les villes
All Cities|Toutes les villes
Very Low|Très Bas
Very High|Très Haut
Computer's Treasure|Trésorerie
Founded.|Trouvé
Retail Store Type|Type de magasin
Building Types|Types de construction
One|Un
University|Université
Factory|Usine
Factory - Large|Usine - Grand
Factory - Medium|Usine - Moyen
Factory - Small|Usine - Petit
Stock Price|Valeur de l'action
Net Worth|Valeur nette
Values 1|Valeurs 1
Values 2|Valeurs 2
Goal Values|Valeurs des objectifs
Retailing|Vente
Glass|Verre
GLASS|VERRE
Demo Version|Version démo
Clear Stock|Vider le stock
City|Ville
Cities|Villes
Game Speed|Vitesse de jeu
CAR|VOITURE
Car|Voiture
Content Volume|Volume
Your Name|Votre Nom
Do you want to proceed ?|Voulez-vous
Do you want to continue to stay in the game?|Voulez-vous continuer
Do you want to manage all of your firms yourself?|Voulez-vous diriger toutes les usines vous-même?
Do you want President|Voulez-vous présider ?
Do you really want to retire?|Voulez-vous vraiment abandonner ?
Do you really want to win this game by cheating?|Voulez-vous vraiment gagner cette partie en trichant ?
Do you really want to retreat?|Voulez-vous vraiment prendre la retraite ?
Do you really want to cancel this game and quit?|Voulez-vous vraiment quitter la partie ?
Do you really want to restart?|Voulez-vous vraiment recommencer ?
Do you really want to quit to Windows?|Voulez-vous vraiment revenir à Windows ?
Do you really want to quit to the Main Menu?|Voulez-vous vraiment revenir au menu principal ?
Do you accept?|Vous acceptez ?
You haven't saved any games yet.|Vous n'avez sauvegardé aucune partie.
100 Billionaires|
Achieved A Population Of|
Achieved The Selected Within|
Acquire Technology From Other Companies|
Advertising Unit|
Air Conditioner|
AIR CONDITIONER|
All suppliers|
Annual rent per square foot|
Annual return|
Are you sure that you want to demolish the apartment and sell the land? \n \nThe land can be sold for|
Are you sure that you want to demolish the commerical building and sell the land? \n \nThe land can be sold for|
Are you sure that you want to demolish the mansion and sell the land? \n \nThe land can be sold for|
Are you sure that you want to demolish this \nfirm and sell the land for|
Area. Fields are Completely Stripped of Vegetation.|
Assets Turnover|
Auto Locate|
Automobile Outlet|
Average Unit Level|
Average Utilization|
Avg. Unit Level|
Baby and Adult Livestock|
Back Pack|
Badlands|
Before hiring the new Chief Operating officer,  \n you must terminate the employment of the current one.|
bill|
Billionaire 100|
Billionaires 100|
Borrow|
Borrow/Repay Loan|
Borrows|
Both|
Brand|
Brand Awareness|
Brand Loyalty|
Brand Rating|
Brand Strategy|
Brief|
building factory input failed.|
building farm input failed.|
building raw input failed.|
buildings. You may acquire them for|
Business Assets|
Buy|
Campaign Cheat to Win|
Campaigns 1 Text content|
Campaigns 1 Text title|
Campaigns 2 Text content|
Campaigns 2 Text title|
Campaigns 3 Text content|
Campaigns 3 Text title|
Campaigns 4 Text content|
Campaigns 4 Text title|
Campaigns 5 Text content|
Campaigns 5 Text title|
Campaigns 6 Text content|
Campaigns 6 Text title|
Campaigns 7 Text content|
Campaigns 7 Text title|
Campaigns 8 Text content|
Campaigns 8 Text title|
Campaigns 9 Text content|
Campaigns 9 Text title|
CAN_FOOD|
Cannot get connection string from lobby|
Cannot get game configuration info from the host.|
Cannot get kingdom information from the host.|
Cannot get random seeds from the host.|
Cannot initialize DirectPlay.|
Cannot join a load game session|
Cannot join a new game session|
Cannot link Seaport Products of different Towns|
Cannot load in scenario editor|
Cannot load the saved game. It was saved with a different version of Capitalism.|
Cannot open the saved game file|
Cannot read file header|
Cannot receive important information from the host|
Cannot set up here:|
Cannot set up:|
CCD|
Change Group Manager|
Change it as needed|
CHEMGOOD|
City Average|
City Overall|
City Total|
Common Stock|
Commuting Convenience|
Computer Controlled Kingdoms|
Concern|
Connection string from host is corrupted|
Consumer Price Index|
Consumer Price Index:|
Contraction|
Conversely, if the livestock supply bar is longer than the process capacity bar, the unit has reached its full capacity and cannot process all livestock sent to it. You could set up a new livestock process unit to lessen the workload of the current one. You could also increase the training budget for the current unit, which would increase the unit's productivity in long term.|
Corp.|
Corporate Brand|
Corporation|
Corporation            Price          Owned Qty      Owned%         Stock Value       Subsidiary|
Corporation / Subsidary|
Corporation Takeover and Merger|
corporation's stock performance.|
Corporations|
CORPORATIONS|
Crop Growing Unit|
Crop in Barn|
CTO|
Custom game unexpected end of file.|
Customer Traffic|
Customer Traffic:|
Defeated All Except One Allied Kingdom|
Defeated All Others|
Destroyed All Independent Fryhtan Lairs|
Discount Megastore|
Distance to CBD|
Dividend Payout Ratio|
Dividend Yield|
Donation to Public Facilities|
Dry|
Duration|
Duration:|
ELAL_PRO|
ELIC_PRO|
Employment rejected|
Employment Termination|
Endure Loss for Avoiding Layoff|
Equity Per Share|
Equity-to-Assets Ratio|
Error creating %1s directory|
Error creating saved game file.|
Error creating saved game header.|
Error writing saved game data.|
Erschoepft.|
Exhausted.|
EXIT|
Exit|
Factory Overhead|
Financial Overview|
Firm can not be taken by player!!|
Firm Overview|
for training an employee?|
Frequency of Upgrading Production Facilities|
From Any Firms|
From any firms|
From Own Firms Only|
From own firms only|
Fryhtan|
Fryhtan Species|
Fryhtans|
Gain|
Gain in value|
Game Design Mode Warning|
Game of|
Game Saved Successfully|
game year num|
GDP Growth|
GDP Growth:|
Geese|
Gem Stones (%1d)|
Go to Supplier|
Goal Report|
Goat|
Goats|
Goose|
Grand strategy failed, cannot find location to build.|
Green and Sports|
Grow Crop|
Growing|
Growth Progress|
Harvesting|
has been Executed|
Has gained improvements|
Has Retail Sales|
Has Trade Sales|
Have gained improvements|
He|
He currently manages this firm|
Headache Pills|
HEADACHE PILLS|
Headquarters|
Hello|
Help|
Housing Demand|
Housing Supply|
Housing Supply & Demand Index|
How much will you allocate|
HUD Glasses|
HUD GLASSES|
If your company is using 'Corporate Brand' strategy,|
"If your name is not here, click on ""New Player"" below"|
in his skills and productivity.|
in their skills and productivity.|
in which you have ownership.|
in which your corporation has ownership.|
Incorrect kingdom information received from the host.|
Increase in Asset Value|
Increase starting treasure %1,3d|
Increases in Asset Values|
Independent Town Resistance|
Independent Towns|
Inflation Dove (modest)|
Inflation Hawk (modest)|
Inflation Hawk (strong)|
Inflation Rate:|
Input|
INPUT|
Input Materials|
Inside Information|
Insufficient disk space ! The game is not saved.|
Intangible Asset: Technology|
Interest Rate|
Internal Sale|
Invalid value.|
Invented|
Inventory Turnover|
Inventory Unit|
Investing in Research and Development|
Investing in Stocks|
Investing in Training and New Equipment|
Investor Relations Department|
INVESTOR RELATIONS DEPARTMENT|
Investor relations efforts will help improve your|
IPX|
IRON ORE|
Issue|
Issue New Shares|
Issue New Shares to the Public|
ISSUE NOW|
Issues|
Issuing Price (should be LOWER than market price)|
It is not recommended to use this saved game file name, do you wish to continue?|
It tells the number of times a target audience is exposed to the advertisement in a day. The higher the frequency, the greater the effect of the advertising.|
It will overwrite the existing saved game. Proceed ?|
January|
JEWELRY|
Jewelry and Watch Store|
Job Title|
Join|
Join a local area network game|
Join a local area network or Internet game|
Join with another player by Modem|
Join with another player linked by serial cable|
July|
June|
King|
King immortal mode is now disabled.|
Labelling|
Land & Resource|
Land and Building Cost|
Land and building cost|
Land and building cost:|
Land and Natural Resources|
Land Cost|
Land cost:|
Land costs:|
Large|
Last Month|
Last Year|
Last Year Changes|
Last Year Trade|
Layout Plan|
Layout Plan Library -|
Leader|
Leader Market Share|
Leather|
LEATHER|
Leather Bag|
LEATHER BAG|
Leather Belt|
LEATHER BELT|
Leather Briefcase|
LEATHER BRIEFCASE|
Leather Jacket|
LEATHER JACKET|
Leather Store|
LEFT CLICK TO BUILD|
lementary)SCP#]Supp. %1d|
Lemon|
LEMON|
Let her manage all of my firms|
Let her manage this firm|
Let him manage all of my firms|
Let him manage this firm|
Level|
LIABILITIES|
Lifetime|
Lifetime Profit|
Lifetime Revenue|
Lifetime Trade|
Linen|
LINEN|
Link|
Link Media|
Link This Item|
Lipstick|
LIPSTICK|
Little|
Livestock Name|
Livestock Processing|
Livestock Processing Unit|
Livestock Raising|
Livestock Raising Unit|
Livestock Supply and Process Capacity|
Load Game|
Load game error|
Loan Amount|
Loan Interest|
Loan Interest Rate|
Loan Interest Rate:|
Lobby error reserved 1|
Lobby error reserved 2|
Lobby error reserved 3|
Lobby error reserved 4|
Local|
Local Billionaires|
Location is not next to roads|
LOG|
Logging Camp|
Look for Better Products to Sell in Retail Stores|
Look for better products to sell in retail stores|
Look for Better Supplies|
Look for better supplies|
Look for Candidates|
Loose|
Lost Ownership|
LPRODUCT|
LSEMI|
LSTOCK|
Main Map|
Major|
Management|
MANAGEMENT POLICIES|
Manager|
Manager of this Firm|
Manager's Guide|
Mansion|
Mansion Demolish|
Mansions market|
Manufacturer's|
Manufacturing Level|
March|
Market Cap of Companies Controlled|
Market Cap of Companies Under Your Control|
Market Cap of Your Corporation|
Market Capitalization|
Market Dominance of the|
Market Share|
Market Value|
Market value|
Market value:|
Market Value:|
Marketing|
Max. No. of Shares Can Be Issued|
Maximum Number of Shares that can be issued|
May|
Media Firm|
Medium|
Merger|
Merger!|
MERGER!|
Message|
Mft|
Milk|
MILK|
million|
Mine|
Mission Briefing|
Mobile Phone|
MOBILE PHONE|
Modem|
Money Demand|
Money Supply|
Month|
Monthly Ad. Spending|
Monthly Advertising Expense|
Monthly Budget for Developing Your Own Content|
Monthly Budget for Licensing Content from Third Parties|
Monthly budget for new content development|
Monthly Interest|
